symbol,start_date,end_date,digit_type,mad,target
KRW-BSV,2025-01-01-00:00,2024-12-31-00:00,first,0.009576118026537536,TA
KRW-BSV,2025-01-01-00:00,2024-12-31-00:00,second,0.020464675869085368,TA
KRW-BSV,2024-12-31-00:00,2024-12-30-00:00,first,0.013303244680233814,TA
KRW-BSV,2024-12-31-00:00,2024-12-30-00:00,second,0.022731342535752035,TA
KRW-BSV,2024-12-30-00:00,2024-12-29-00:00,first,0.017110828430280518,TA
KRW-BSV,2024-12-30-00:00,2024-12-29-00:00,second,0.029500376067983725,TA
KRW-BSV,2024-12-29-00:00,2024-12-28-00:00,first,0.019325003061187482,TA
KRW-BSV,2024-12-29-00:00,2024-12-28-00:00,second,0.03181467586908536,TA
KRW-BSV,2024-12-28-00:00,2024-12-27-00:00,first,0.012457775850658314,TA
KRW-BSV,2024-12-28-00:00,2024-12-27-00:00,second,0.032264675869085366,TA
KRW-BSV,2024-12-27-00:00,2024-12-26-00:00,first,0.01003999421864159,TA
KRW-BSV,2024-12-27-00:00,2024-12-26-00:00,second,0.025264675869085366,TA
KRW-BSV,2024-12-26-00:00,2024-12-25-00:00,first,0.017784726161715295,TA
KRW-BSV,2024-12-26-00:00,2024-12-25-00:00,second,0.022803035415569495,TA
KRW-BSV,2024-12-25-00:00,2024-12-24-00:00,first,0.010272590665473116,TA
KRW-BSV,2024-12-25-00:00,2024-12-24-00:00,second,0.025398009202418702,TA
KRW-BSV,2024-12-24-00:00,2024-12-23-00:00,first,0.013036754356206442,TA
KRW-BSV,2024-12-24-00:00,2024-12-23-00:00,second,0.018731342535752035,TA
KRW-BSV,2024-12-23-00:00,2024-12-22-00:00,first,0.013099512687648923,TA
KRW-BSV,2024-12-23-00:00,2024-12-22-00:00,second,0.026398009202418703,TA
KRW-BSV,2024-12-22-00:00,2024-12-21-00:00,first,0.008915737679553254,TA
KRW-BSV,2024-12-22-00:00,2024-12-21-00:00,second,0.014731342535752034,TA
KRW-BSV,2024-12-21-00:00,2024-12-20-00:00,first,0.007138056604369423,TA
KRW-BSV,2024-12-21-00:00,2024-12-20-00:00,second,0.013207533011942513,TA
KRW-BSV,2024-12-20-00:00,2024-12-19-00:00,first,0.011784801765820455,TA
KRW-BSV,2024-12-20-00:00,2024-12-19-00:00,second,0.012858083759002662,TA
KRW-BSV,2024-12-19-00:00,2024-12-18-00:00,first,0.012135722071435703,TA
KRW-BSV,2024-12-19-00:00,2024-12-18-00:00,second,0.019207533011942512,TA
KRW-BSV,2024-12-18-00:00,2024-12-17-00:00,first,0.01398666859378613,TA
KRW-BSV,2024-12-18-00:00,2024-12-17-00:00,second,0.015391681400724878,TA
KRW-BSV,2024-12-17-00:00,2024-12-16-00:00,first,0.01105456743155657,TA
KRW-BSV,2024-12-17-00:00,2024-12-16-00:00,second,0.014064675869085368,TA
KRW-BSV,2024-12-16-00:00,2024-12-15-00:00,first,0.011397315863628688,TA
KRW-BSV,2024-12-16-00:00,2024-12-15-00:00,second,0.01907206894780118,TA
KRW-BSV,2024-12-15-00:00,2024-12-14-00:00,first,0.011432846020982252,TA
KRW-BSV,2024-12-15-00:00,2024-12-14-00:00,second,0.019564675869085366,TA
KRW-BSV,2024-12-14-00:00,2024-12-13-00:00,first,0.014730649196962018,TA
KRW-BSV,2024-12-14-00:00,2024-12-13-00:00,second,0.018231342535752034,TA
KRW-BSV,2024-12-13-00:00,2024-12-12-00:00,first,0.007387431396575408,TA
KRW-BSV,2024-12-13-00:00,2024-12-12-00:00,second,0.009515973711843076,TA
KRW-BSV,2024-12-12-00:00,2024-12-11-00:00,first,0.011076354101391425,TA
KRW-BSV,2024-12-12-00:00,2024-12-11-00:00,second,0.015389728712478137,TA
KRW-BSV,2024-12-11-00:00,2024-12-10-00:00,first,0.007816547797566485,TA
KRW-BSV,2024-12-11-00:00,2024-12-10-00:00,second,0.00547472489869557,TA
KRW-BSV,2024-12-10-00:00,2024-12-09-00:00,first,0.009784726161715294,TA
KRW-BSV,2024-12-10-00:00,2024-12-09-00:00,second,0.008962026862530207,TA
KRW-BSV,2024-12-09-00:00,2024-12-08-00:00,first,0.011054567431556575,TA
