symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
IOTAUSDT,2020-01-01-00:00,2020-01-02-00:00,first,"[0.2442002442002442, 0.15506715506715507, 0.2503052503052503, 0.08791208791208792, 0.08791208791208792, 0.05372405372405373, 0.04395604395604396, 0.030525030525030524, 0.0463980463980464]",0.0299417580886188,2.8145367902264686
IOTAUSDT,2020-01-01-00:00,2020-01-02-00:00,second,"[0.1746031746031746, 0.11843711843711843, 0.0989010989010989, 0.0757020757020757, 0.11355311355311355, 0.10256410256410256, 0.10134310134310134, 0.07203907203907203, 0.06593406593406594, 0.07692307692307693]",0.017314212928647,3.2609011138180173
IOTAUSDT,2020-01-02-00:00,2020-01-03-00:00,first,"[0.3398203592814371, 0.1721556886227545, 0.15419161676646706, 0.08383233532934131, 0.0658682634730539, 0.04341317365269461, 0.059880239520958084, 0.0344311377245509, 0.04640718562874251]",0.0156847180859915,2.7529035935305224
IOTAUSDT,2020-01-02-00:00,2020-01-03-00:00,second,"[0.1347305389221557, 0.10479041916167664, 0.11077844311377245, 0.10778443113772455, 0.10029940119760479, 0.10329341317365269, 0.08532934131736528, 0.08532934131736528, 0.07634730538922156, 0.09131736526946108]",0.0066798551846806,3.304385379388372
IOTAUSDT,2020-01-03-00:00,2020-01-04-00:00,first,"[0.30861504907306436, 0.20174482006543076, 0.13086150490730644, 0.0861504907306434, 0.0697928026172301, 0.05125408942202835, 0.04471101417666303, 0.04907306434023991, 0.05779716466739367]",0.0113780126276794,2.8173233051208677
IOTAUSDT,2020-01-03-00:00,2020-01-04-00:00,second,"[0.12758996728462377, 0.11777535441657579, 0.11014176663031625, 0.10032715376226826, 0.09814612868047982, 0.09378407851690294, 0.09487459105779716, 0.06870229007633588, 0.08396946564885496, 0.10468920392584515]",0.0068615848928968,3.3034422499459675
IOTAUSDT,2020-01-04-00:00,2020-01-05-00:00,first,"[0.29225736095965105, 0.19520174482006544, 0.14285714285714285, 0.08724100327153762, 0.0861504907306434, 0.05343511450381679, 0.05888767720828789, 0.05016357688113413, 0.03380588876772083]",0.0099764148726326,2.8396929615989155
IOTAUSDT,2020-01-04-00:00,2020-01-05-00:00,second,"[0.14940021810250817, 0.11777535441657579, 0.10032715376226826, 0.11123227917121047, 0.0916030534351145, 0.07960741548527808, 0.11123227917121047, 0.08724100327153762, 0.0806979280261723, 0.07088331515812432]",0.0116732925686144,3.2880840565015816
IOTAUSDT,2020-01-05-00:00,2020-01-06-00:00,first,"[0.29990539262062443, 0.17123935666982024, 0.1466414380321665, 0.1097445600756859, 0.0728476821192053, 0.0586565752128666, 0.0510879848628193, 0.04730368968779565, 0.04257332071901608]",0.0076749441092213,2.849606856097489
IOTAUSDT,2020-01-05-00:00,2020-01-06-00:00,second,"[0.11636707663197729, 0.11352885525070956, 0.09649952696310313, 0.11636707663197729, 0.08609271523178808, 0.09933774834437085, 0.09271523178807947, 0.11447492904446546, 0.0728476821192053, 0.09176915799432356]",0.0091185549309119,3.3072203595475207
IOTAUSDT,2020-01-06-00:00,2020-01-07-00:00,first,"[0.27800829875518673, 0.1941908713692946, 0.14024896265560166, 0.1045643153526971, 0.08215767634854772, 0.06224066390041494, 0.036514522821576766, 0.05726141078838174, 0.044813278008298756]",0.0111443242994398,2.867620882490395
IOTAUSDT,2020-01-06-00:00,2020-01-07-00:00,second,"[0.11203319502074689, 0.09294605809128631, 0.11120331950207468, 0.08962655601659751, 0.1012448132780083, 0.12282157676348547, 0.07800829875518672, 0.10290456431535269, 0.0946058091286307, 0.0946058091286307]",0.011731912026923,3.3111018048116825
IOTAUSDT,2020-01-07-00:00,2020-01-08-00:00,first,"[0.3059643687064291, 0.17505809450038728, 0.13477924089852827, 0.08520526723470179, 0.0766847405112316, 0.07281177381874517, 0.05809450038729667, 0.046475600309837335, 0.044926413632842756]",0.0046094255400929,2.8599800490807246
