symbol,start_date,end_date,digit_type,mad,target
KRW-AXS,2025-01-01-00:00,2024-12-31-00:00,first,0.012496263189616432,TA
KRW-AXS,2025-01-01-00:00,2024-12-31-00:00,second,0.01566467586908537,TA
KRW-AXS,2024-12-31-00:00,2024-12-30-00:00,first,0.010212413359274093,TA
KRW-AXS,2024-12-31-00:00,2024-12-30-00:00,second,0.02056467586908537,TA
KRW-AXS,2024-12-30-00:00,2024-12-29-00:00,first,0.012026945493258313,TA
KRW-AXS,2024-12-30-00:00,2024-12-29-00:00,second,0.020750665153313093,TA
KRW-AXS,2024-12-29-00:00,2024-12-28-00:00,first,0.013138056604369425,TA
KRW-AXS,2024-12-29-00:00,2024-12-28-00:00,second,0.025003035415569495,TA
KRW-AXS,2024-12-28-00:00,2024-12-27-00:00,first,0.009218796381550433,TA
KRW-AXS,2024-12-28-00:00,2024-12-27-00:00,second,0.015467042734650388,TA
KRW-AXS,2024-12-27-00:00,2024-12-26-00:00,first,0.011710369406810632,TA
KRW-AXS,2024-12-27-00:00,2024-12-26-00:00,second,0.018669702082236162,TA
KRW-AXS,2024-12-26-00:00,2024-12-25-00:00,first,0.010101019567332385,TA
KRW-AXS,2024-12-26-00:00,2024-12-25-00:00,second,0.014503035415569493,TA
KRW-AXS,2024-12-25-00:00,2024-12-24-00:00,first,0.013557288538307226,TA
KRW-AXS,2024-12-25-00:00,2024-12-24-00:00,second,0.013564675869085368,TA
KRW-AXS,2024-12-24-00:00,2024-12-23-00:00,first,0.008012107207360989,TA
KRW-AXS,2024-12-24-00:00,2024-12-23-00:00,second,0.010574463986998064,TA
KRW-AXS,2024-12-23-00:00,2024-12-22-00:00,first,0.009799640051717792,TA
KRW-AXS,2024-12-23-00:00,2024-12-22-00:00,second,0.014629787328944672,TA
KRW-AXS,2024-12-22-00:00,2024-12-21-00:00,first,0.005804798875141254,TA
KRW-AXS,2024-12-22-00:00,2024-12-21-00:00,second,0.012572369473288375,TA
KRW-AXS,2024-12-21-00:00,2024-12-20-00:00,first,0.005995557746448037,TA
KRW-AXS,2024-12-21-00:00,2024-12-20-00:00,second,0.005671220400332841,TA
KRW-AXS,2024-12-20-00:00,2024-12-19-00:00,first,0.005211508029772666,TA
KRW-AXS,2024-12-20-00:00,2024-12-19-00:00,second,0.010799581695203436,TA
KRW-AXS,2024-12-19-00:00,2024-12-18-00:00,first,0.010463217354912357,TA
KRW-AXS,2024-12-19-00:00,2024-12-18-00:00,second,0.012729228708620888,TA
KRW-AXS,2024-12-18-00:00,2024-12-17-00:00,first,0.007614247080559903,TA
KRW-AXS,2024-12-18-00:00,2024-12-17-00:00,second,0.012003035415569494,TA
KRW-AXS,2024-12-17-00:00,2024-12-16-00:00,first,0.010639721173408346,TA
KRW-AXS,2024-12-17-00:00,2024-12-16-00:00,second,0.013994278015164705,TA
KRW-AXS,2024-12-16-00:00,2024-12-15-00:00,first,0.011226911677331176,TA
KRW-AXS,2024-12-16-00:00,2024-12-15-00:00,second,0.016300657280049452,TA
KRW-AXS,2024-12-15-00:00,2024-12-14-00:00,first,0.00756574380192822,TA
KRW-AXS,2024-12-15-00:00,2024-12-14-00:00,second,0.01544504136430019,TA
KRW-AXS,2024-12-14-00:00,2024-12-13-00:00,first,0.012148430828978742,TA
KRW-AXS,2024-12-14-00:00,2024-12-13-00:00,second,0.013898009202418704,TA
KRW-AXS,2024-12-13-00:00,2024-12-12-00:00,first,0.007859608862696845,TA
KRW-AXS,2024-12-13-00:00,2024-12-12-00:00,second,0.007646923275934543,TA
KRW-AXS,2024-12-12-00:00,2024-12-11-00:00,first,0.007655235904345612,TA
