symbol,start_date,end_date,digit_type,mad,target
KRW-FLOW,2025-01-01-00:00,2024-12-31-00:00,first,0.007805005951866688,TA
KRW-FLOW,2025-01-01-00:00,2024-12-31-00:00,second,0.015723062045811476,TA
KRW-FLOW,2024-12-31-00:00,2024-12-30-00:00,first,0.011213297590286728,TA
KRW-FLOW,2024-12-31-00:00,2024-12-30-00:00,second,0.012277885998525067,TA
KRW-FLOW,2024-12-30-00:00,2024-12-29-00:00,first,0.010471389937702759,TA
KRW-FLOW,2024-12-30-00:00,2024-12-29-00:00,second,0.013350390154799654,TA
KRW-FLOW,2024-12-29-00:00,2024-12-28-00:00,first,0.007282778911845789,TA
KRW-FLOW,2024-12-29-00:00,2024-12-28-00:00,second,0.017231342535752037,TA
KRW-FLOW,2024-12-28-00:00,2024-12-27-00:00,first,0.012006948383937524,TA
KRW-FLOW,2024-12-28-00:00,2024-12-27-00:00,second,0.014619988520907424,TA
KRW-FLOW,2024-12-27-00:00,2024-12-26-00:00,first,0.007909279762419022,TA
KRW-FLOW,2024-12-27-00:00,2024-12-26-00:00,second,0.014770192394322063,TA
KRW-FLOW,2024-12-26-00:00,2024-12-25-00:00,first,0.009771112074670844,TA
KRW-FLOW,2024-12-26-00:00,2024-12-25-00:00,second,0.015122093724741664,TA
KRW-FLOW,2024-12-25-00:00,2024-12-24-00:00,first,0.009995199461512283,TA
KRW-FLOW,2024-12-25-00:00,2024-12-24-00:00,second,0.013563600284239355,TA
KRW-FLOW,2024-12-24-00:00,2024-12-23-00:00,first,0.007253216204823159,TA
KRW-FLOW,2024-12-24-00:00,2024-12-23-00:00,second,0.011889567573593728,TA
KRW-FLOW,2024-12-23-00:00,2024-12-22-00:00,first,0.01057837695536609,TA
KRW-FLOW,2024-12-23-00:00,2024-12-22-00:00,second,0.01352235538647244,TA
KRW-FLOW,2024-12-22-00:00,2024-12-21-00:00,first,0.007964523639015529,TA
KRW-FLOW,2024-12-22-00:00,2024-12-21-00:00,second,0.010460996145022298,TA
KRW-FLOW,2024-12-21-00:00,2024-12-20-00:00,first,0.00666861391653618,TA
KRW-FLOW,2024-12-21-00:00,2024-12-20-00:00,second,0.00577961688013755,TA
KRW-FLOW,2024-12-20-00:00,2024-12-19-00:00,first,0.007734848185267694,TA
KRW-FLOW,2024-12-20-00:00,2024-12-19-00:00,second,0.007673794961063714,TA
KRW-FLOW,2024-12-19-00:00,2024-12-18-00:00,first,0.007721234098223235,TA
KRW-FLOW,2024-12-19-00:00,2024-12-18-00:00,second,0.010166512670258991,TA
KRW-FLOW,2024-12-18-00:00,2024-12-17-00:00,first,0.01327678965377879,TA
KRW-FLOW,2024-12-18-00:00,2024-12-17-00:00,second,0.008054281552013653,TA
KRW-FLOW,2024-12-17-00:00,2024-12-16-00:00,first,0.011976991912705546,TA
KRW-FLOW,2024-12-17-00:00,2024-12-16-00:00,second,0.008185231116105123,TA
KRW-FLOW,2024-12-16-00:00,2024-12-15-00:00,first,0.009510836402531404,TA
KRW-FLOW,2024-12-16-00:00,2024-12-15-00:00,second,0.011796443305486784,TA
KRW-FLOW,2024-12-15-00:00,2024-12-14-00:00,first,0.006887382009205421,TA
KRW-FLOW,2024-12-15-00:00,2024-12-14-00:00,second,0.011350390154799658,TA
KRW-FLOW,2024-12-14-00:00,2024-12-13-00:00,first,0.008705002797414464,TA
KRW-FLOW,2024-12-14-00:00,2024-12-13-00:00,second,0.018872085851478027,TA
KRW-FLOW,2024-12-13-00:00,2024-12-12-00:00,first,0.0067824672328867346,TA
KRW-FLOW,2024-12-13-00:00,2024-12-12-00:00,second,0.008625428911376493,TA
KRW-FLOW,2024-12-12-00:00,2024-12-11-00:00,first,0.006800240892652561,TA
KRW-FLOW,2024-12-12-00:00,2024-12-11-00:00,second,0.008045231150898897,TA
KRW-FLOW,2024-12-11-00:00,2024-12-10-00:00,first,0.004571791487633531,TA
KRW-FLOW,2024-12-11-00:00,2024-12-10-00:00,second,0.005262811251927932,TA
KRW-FLOW,2024-12-10-00:00,2024-12-09-00:00,first,0.0058313860834638236,TA
KRW-FLOW,2024-12-10-00:00,2024-12-09-00:00,second,0.009683127979098519,TA
KRW-FLOW,2024-12-09-00:00,2024-12-08-00:00,first,0.007033141828050749,TA
KRW-FLOW,2024-12-09-00:00,2024-12-08-00:00,second,0.009094065169966744,TA
KRW-FLOW,2024-12-08-00:00,2024-12-07-00:00,first,0.006451392828381965,TA
KRW-FLOW,2024-12-08-00:00,2024-12-07-00:00,second,0.011872085851478024,TA
KRW-FLOW,2024-12-07-00:00,2024-12-06-00:00,first,0.0065026218450335216,TA
KRW-FLOW,2024-12-07-00:00,2024-12-06-00:00,second,0.004261593780916065,TA
KRW-FLOW,2024-12-06-00:00,2024-12-05-00:00,first,0.010215273838284696,TA
KRW-FLOW,2024-12-06-00:00,2024-12-05-00:00,second,0.00433658500141697,TA
KRW-FLOW,2024-12-05-00:00,2024-12-04-00:00,first,0.008082783729644466,TA
KRW-FLOW,2024-12-05-00:00,2024-12-04-00:00,second,0.0065495379889894305,TA
KRW-FLOW,2024-12-04-00:00,2024-12-03-00:00,first,0.007233764067922029,TA
KRW-FLOW,2024-12-04-00:00,2024-12-03-00:00,second,0.002763581804395787,TA
KRW-FLOW,2024-12-03-00:00,2024-12-02-00:00,first,0.005522227040020892,TA
KRW-FLOW,2024-12-03-00:00,2024-12-02-00:00,second,0.004292588255105005,TA
KRW-FLOW,2024-12-02-00:00,2024-12-01-00:00,first,0.004673332369773603,TA
KRW-FLOW,2024-12-02-00:00,2024-12-01-00:00,second,0.005118390603939954,TA
KRW-FLOW,2024-12-01-00:00,2024-11-30-00:00,first,0.007283172676055127,TA
KRW-FLOW,2024-12-01-00:00,2024-11-30-00:00,second,0.013930543047939139,TA
KRW-FLOW,2024-11-30-00:00,2024-11-29-00:00,first,0.005148883730073659,TA
KRW-FLOW,2024-11-30-00:00,2024-11-29-00:00,second,0.009340217992848607,TA
KRW-FLOW,2024-11-29-00:00,2024-11-28-00:00,first,0.008272382879500419,TA
KRW-FLOW,2024-11-29-00:00,2024-11-28-00:00,second,0.01238187396939072,TA
KRW-FLOW,2024-11-28-00:00,2024-11-27-00:00,first,0.008167468103181736,TA
KRW-FLOW,2024-11-28-00:00,2024-11-27-00:00,second,0.007950926815043873,TA
KRW-FLOW,2024-11-27-00:00,2024-11-26-00:00,first,0.006992940532683729,TA
KRW-FLOW,2024-11-27-00:00,2024-11-26-00:00,second,0.008049589568467075,TA
KRW-FLOW,2024-11-26-00:00,2024-11-25-00:00,first,0.0052798500191224285,TA
KRW-FLOW,2024-11-26-00:00,2024-11-25-00:00,second,0.0057957431413822105,TA
KRW-FLOW,2024-11-25-00:00,2024-11-24-00:00,first,0.010230960166673806,TA
KRW-FLOW,2024-11-25-00:00,2024-11-24-00:00,second,0.008134805950513985,TA
KRW-FLOW,2024-11-24-00:00,2024-11-23-00:00,first,0.008118059495048636,TA
KRW-FLOW,2024-11-24-00:00,2024-11-23-00:00,second,0.006978431347667282,TA
KRW-FLOW,2024-11-23-00:00,2024-11-22-00:00,first,0.005253650093864068,TA
KRW-FLOW,2024-11-23-00:00,2024-11-22-00:00,second,0.006720178307506129,TA
KRW-FLOW,2024-11-22-00:00,2024-11-21-00:00,first,0.009854883928314295,TA
KRW-FLOW,2024-11-22-00:00,2024-11-21-00:00,second,0.01177019239432206,TA
KRW-FLOW,2024-11-21-00:00,2024-11-20-00:00,first,0.008356154733143868,TA
KRW-FLOW,2024-11-21-00:00,2024-11-20-00:00,second,0.013472622511722243,TA
KRW-FLOW,2024-11-20-00:00,2024-11-19-00:00,first,0.0069275833045724395,TA
KRW-FLOW,2024-11-20-00:00,2024-11-19-00:00,second,0.009897422316681146,TA
KRW-FLOW,2024-11-19-00:00,2024-11-18-00:00,first,0.00498845815430019,TA
KRW-FLOW,2024-11-19-00:00,2024-11-18-00:00,second,0.006866012723276938,TA
KRW-FLOW,2024-11-18-00:00,2024-11-17-00:00,first,0.011372027749016887,TA
KRW-FLOW,2024-11-18-00:00,2024-11-17-00:00,second,0.009277885998525068,TA
KRW-FLOW,2024-11-17-00:00,2024-11-16-00:00,first,0.006363607964669485,TA
KRW-FLOW,2024-11-17-00:00,2024-11-16-00:00,second,0.004917139947632256,TA
KRW-FLOW,2024-11-16-00:00,2024-11-15-00:00,first,0.009943456320445456,TA
KRW-FLOW,2024-11-16-00:00,2024-11-15-00:00,second,0.011515692499777345,TA
KRW-FLOW,2024-11-15-00:00,2024-11-14-00:00,first,0.01057630471402144,TA
