symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
LRCUSDT,2024-01-01,2024-01-02-00:00,first,"[0.3091168091168091, 0.17307692307692307, 0.11609686609686609, 0.09615384615384616, 0.06623931623931624, 0.06695156695156695, 0.0641025641025641, 0.05911680911680912, 0.049145299145299144]",0.0056787340339357,2.876543866687367
LRCUSDT,2024-01-01,2024-01-02-00:00,second,"[0.1339031339031339, 0.12179487179487179, 0.11253561253561253, 0.09259259259259259, 0.09686609686609686, 0.09472934472934473, 0.08831908831908832, 0.09259259259259259, 0.07977207977207977, 0.0868945868945869]",0.0059961170767113,3.303567937517477
LRCUSDT,2024-01-02,2024-01-03-00:00,first,"[0.307909604519774, 0.18926553672316385, 0.12429378531073447, 0.09533898305084745, 0.0769774011299435, 0.062146892655367235, 0.05861581920903955, 0.038135593220338986, 0.04731638418079096]",0.0049414783054986,2.836706830699164
LRCUSDT,2024-01-02,2024-01-03-00:00,second,"[0.11793785310734463, 0.10875706214689265, 0.11511299435028248, 0.1016949152542373, 0.09392655367231638, 0.10098870056497175, 0.10098870056497175, 0.0847457627118644, 0.08545197740112995, 0.0903954802259887]",0.004723010611531,3.3132547570878943
LRCUSDT,2024-01-03,2024-01-04-00:00,first,"[0.2776978417266187, 0.17913669064748203, 0.12661870503597122, 0.10143884892086331, 0.08633093525179857, 0.07266187050359713, 0.05683453237410072, 0.050359712230215826, 0.04892086330935252]",0.0056183063906919,2.9152808238936467
LRCUSDT,2024-01-03,2024-01-04-00:00,second,"[0.10719424460431655, 0.10719424460431655, 0.11726618705035971, 0.0841726618705036, 0.10431654676258993, 0.0985611510791367, 0.08848920863309352, 0.09280575539568345, 0.09928057553956834, 0.10071942446043165]",0.0088446616612405,3.315719245768845
LRCUSDT,2024-01-04,2024-01-05-00:00,first,"[0.29219858156028367, 0.175177304964539, 0.12695035460992907, 0.09078014184397164, 0.06950354609929078, 0.07801418439716312, 0.06808510638297872, 0.05035460992907802, 0.04893617021276596]",0.0058557448501248,2.8996668842975297
LRCUSDT,2024-01-04,2024-01-05-00:00,second,"[0.11418439716312057, 0.11134751773049645, 0.11134751773049645, 0.11134751773049645, 0.1049645390070922, 0.08794326241134752, 0.09574468085106383, 0.08723404255319149, 0.08936170212765958, 0.08652482269503546]",0.0039778754436414,3.3130042373516044
LRCUSDT,2024-01-05,2024-01-06-00:00,first,"[0.29285714285714287, 0.17857142857142858, 0.14285714285714285, 0.08785714285714286, 0.09142857142857143, 0.06357142857142857, 0.04857142857142857, 0.05785714285714286, 0.03642857142857143]",0.0087445603456218,2.8641805937540004
LRCUSDT,2024-01-05,2024-01-06-00:00,second,"[0.12928571428571428, 0.115, 0.09642857142857143, 0.08357142857142857, 0.10714285714285714, 0.09642857142857143, 0.10071428571428571, 0.08714285714285715, 0.09714285714285714, 0.08714285714285715]",0.0073217711473929,3.3095561065669727
