symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
SUPERUSDT,2024-01-01,2024-01-02-00:00,first,"[0.3150684931506849, 0.17123287671232876, 0.1141552511415525, 0.0898021308980213, 0.08295281582952815, 0.0669710806697108, 0.05707762557077625, 0.0395738203957382, 0.06316590563165905]",0.0078317274174863,2.8616113064405013
SUPERUSDT,2024-01-01,2024-01-02-00:00,second,"[0.13318112633181126, 0.09208523592085235, 0.1019786910197869, 0.11035007610350075, 0.0958904109589041, 0.08599695585996955, 0.0958904109589041, 0.0776255707762557, 0.09817351598173515, 0.10882800608828005]",0.0112944330433602,3.3072843918906045
SUPERUSDT,2024-01-02,2024-01-03-00:00,first,"[0.29249291784702547, 0.1813031161473088, 0.12322946175637393, 0.08640226628895184, 0.08498583569405099, 0.06161473087818697, 0.06444759206798867, 0.05736543909348442, 0.04815864022662889]",0.0057969240312027,2.895083242275995
SUPERUSDT,2024-01-02,2024-01-03-00:00,second,"[0.10906515580736544, 0.11402266288951841, 0.10977337110481586, 0.09206798866855524, 0.10410764872521247, 0.10339943342776203, 0.09844192634560907, 0.08640226628895184, 0.08144475920679886, 0.10127478753541076]",0.0065901403409267,3.3145783500762414
SUPERUSDT,2024-01-03,2024-01-04-00:00,first,"[0.3057790782735918, 0.19239209948792976, 0.12143379663496708, 0.08046817849305048, 0.08924652523774688, 0.06730065837600585, 0.05267008046817849, 0.048280907095830286, 0.04242867593269934]",0.0069931268838608,2.84345217989296
SUPERUSDT,2024-01-03,2024-01-04-00:00,second,"[0.13386978785662035, 0.08924652523774688, 0.10534016093635698, 0.10241404535479151, 0.10387710314557425, 0.10607168983174835, 0.10168251645940014, 0.08851499634235552, 0.0753474762253109, 0.0936356986100951]",0.0088200002791854,3.306872456421616
SUPERUSDT,2024-01-04,2024-01-05-00:00,first,"[0.31444759206798867, 0.17847025495750707, 0.13314447592067988, 0.0906515580736544, 0.06303116147308782, 0.07861189801699717, 0.060906515580736544, 0.04107648725212465, 0.039660056657223795]",0.0085737796905882,2.829379990640374
SUPERUSDT,2024-01-04,2024-01-05-00:00,second,"[0.10410764872521247, 0.10764872521246459, 0.13031161473087818, 0.11898016997167139, 0.08427762039660057, 0.10764872521246459, 0.10127478753541076, 0.0821529745042493, 0.08569405099150142, 0.07790368271954674]",0.0110024533257197,3.3027812738768394
SUPERUSDT,2024-01-05,2024-01-06-00:00,first,"[0.28858578607322327, 0.18305814788226848, 0.1363962670495334, 0.08542713567839195, 0.07896625987078248, 0.07250538406317301, 0.06030150753768844, 0.048815506101938265, 0.04594400574300072]",0.0058842420983795,2.8859250913208903
SUPERUSDT,2024-01-05,2024-01-06-00:00,second,"[0.10983488872936109, 0.09834888729361091, 0.10122038765254845, 0.10624551328068917, 0.11844938980617373, 0.09045226130653267, 0.1048097631012204, 0.07609475951184494, 0.10122038765254845, 0.09332376166547021]",0.0106937823175946,3.3129490185721493
SUPERUSDT,2024-01-06,2024-01-07-00:00,first,"[0.2907231555880205, 0.19576333089846604, 0.09715120525931337, 0.10372534696859022, 0.07596785975164354, 0.0591672753834916, 0.07085463842220599, 0.05113221329437546, 0.05551497443389335]",0.0109127958046791,2.889934791352335
SUPERUSDT,2024-01-06,2024-01-07-00:00,second,"[0.14170927684441198, 0.09715120525931337, 0.10153396639883126, 0.09861212563915267, 0.10445580715850986, 0.08911614317019723, 0.09642074506939372, 0.08473338203067933, 0.08546384222059898, 0.10080350620891161]",0.0090059553152076,3.3062369045412217
SUPERUSDT,2024-01-07,2024-01-08-00:00,first,"[0.31935975609756095, 0.18597560975609756, 0.11814024390243902, 0.08536585365853659, 0.07393292682926829, 0.06326219512195122, 0.05945121951219512, 0.04420731707317073, 0.05030487804878049]",0.0076046158125799,2.832075677382116
SUPERUSDT,2024-01-07,2024-01-08-00:00,second,"[0.11280487804878049, 0.0975609756097561, 0.11814024390243902, 0.10289634146341463, 0.11432926829268293, 0.09298780487804878, 0.09908536585365854, 0.07621951219512195, 0.08003048780487805, 0.10594512195121951]",0.0099996421772367,3.3088757329533047
SUPERUSDT,2024-01-08,2024-01-09-00:00,first,"[0.2968299711815562, 0.1707492795389049, 0.1282420749279539, 0.09293948126801153, 0.08717579250720461, 0.07348703170028818, 0.0569164265129683, 0.04899135446685879, 0.0446685878962536]",0.0039640281886463,2.886576150851812
SUPERUSDT,2024-01-08,2024-01-09-00:00,second,"[0.11959654178674352, 0.10734870317002881, 0.11599423631123919, 0.1138328530259366, 0.10086455331412104, 0.0994236311239193, 0.0893371757925072, 0.0914985590778098, 0.07636887608069164, 0.08573487031700289]",0.0043725729072727,3.308539829614319
SUPERUSDT,2024-01-09,2024-01-10-00:00,first,"[0.30873925501432664, 0.17191977077363896, 0.12464183381088825, 0.09670487106017192, 0.0830945558739255, 0.07163323782234957, 0.044412607449856735, 0.054441260744985676, 0.044412607449856735]",0.0043550568146637,2.858912915167429
SUPERUSDT,2024-01-09,2024-01-10-00:00,second,"[0.11819484240687679, 0.11318051575931232, 0.10744985673352435, 0.08739255014326648, 0.08954154727793696, 0.09527220630372493, 0.0995702005730659, 0.08524355300859598, 0.09312320916905444, 0.11103151862464183]",0.0075565573894344,3.313048768274528
SUPERUSDT,2024-01-10,2024-01-11-00:00,first,"[0.2768319763138416, 0.19393042190969653, 0.13545521835677277, 0.09548482605477424, 0.07401924500370097, 0.06809770540340489, 0.07179866765358993, 0.05181347150259067, 0.03256846780162842]",0.0097720511347538,2.8830640631084936
SUPERUSDT,2024-01-10,2024-01-11-00:00,second,"[0.1376757957068838, 0.10510732790525537, 0.1080680977054034, 0.10214655810510732, 0.10288675055514433, 0.09918578830495929, 0.09474463360473723, 0.07623982235381199, 0.09104367135455219, 0.08290155440414508]",0.0055854286995193,3.3045567847701056
SUPERUSDT,2024-01-11,2024-01-12-00:00,first,"[0.28744650499286734, 0.1804564907275321, 0.13195435092724678, 0.08559201141226819, 0.0912981455064194, 0.062054208273894434, 0.06776034236804565, 0.0449358059914408, 0.04850213980028531]",0.008002397795458,2.8920462325279077
SUPERUSDT,2024-01-11,2024-01-12-00:00,second,"[0.14122681883024252, 0.11269614835948645, 0.11840228245363767, 0.10057061340941512, 0.09700427960057062, 0.0891583452211127, 0.09272467902995721, 0.07703281027104136, 0.08202567760342368, 0.0891583452211127]",0.0070578653689822,3.29881179332511
SUPERUSDT,2024-01-12,2024-01-13-00:00,first,"[0.3068100358422939, 0.17921146953405018, 0.12043010752688173, 0.1010752688172043, 0.07813620071684588, 0.060215053763440864, 0.056630824372759854, 0.047311827956989246, 0.05017921146953405]",0.0038860505277085,2.860353875430406
SUPERUSDT,2024-01-12,2024-01-13-00:00,second,"[0.12831541218637993, 0.12329749103942653, 0.12473118279569892, 0.09175627240143369, 0.1017921146953405, 0.09175627240143369, 0.08100358422939068, 0.08100358422939068, 0.08602150537634409, 0.09032258064516129]",0.008152471205358,3.3001129131493454
SUPERUSDT,2024-01-13,2024-01-14-00:00,first,"[0.30875912408759126, 0.18759124087591242, 0.10218978102189781, 0.08905109489051095, 0.08759124087591241, 0.061313868613138686, 0.05693430656934306, 0.05620437956204379, 0.050364963503649635]",0.0082885411399479,2.864019954653416
SUPERUSDT,2024-01-13,2024-01-14-00:00,second,"[0.11970802919708029, 0.11970802919708029, 0.10218978102189781, 0.1, 0.09781021897810219, 0.10656934306569343, 0.08321167883211679, 0.08613138686131387, 0.08175182481751825, 0.10291970802919707]",0.0067322299249198,3.310048319622632
SUPERUSDT,2024-01-14,2024-01-15-00:00,first,"[0.31781045751633985, 0.17565359477124182, 0.1053921568627451, 0.08088235294117647, 0.1053921568627451, 0.059640522875817, 0.06209150326797386, 0.04656862745098039, 0.04656862745098039]",0.0106449035217936,2.847645854471101
SUPERUSDT,2024-01-14,2024-01-15-00:00,second,"[0.1053921568627451, 0.13316993464052287, 0.09313725490196079, 0.09395424836601307, 0.10702614379084967, 0.08986928104575163, 0.0923202614379085, 0.08333333333333333, 0.09558823529411764, 0.10620915032679738]",0.0110455505481196,3.309832369023752
SUPERUSDT,2024-01-15,2024-01-16-00:00,first,"[0.30484330484330485, 0.18233618233618235, 0.1168091168091168, 0.08831908831908832, 0.0754985754985755, 0.06196581196581197, 0.05982905982905983, 0.051994301994301995, 0.0584045584045584]",0.0056409317115559,2.8754600447789853
SUPERUSDT,2024-01-15,2024-01-16-00:00,second,"[0.1168091168091168, 0.11538461538461539, 0.10968660968660969, 0.099002849002849, 0.10327635327635327, 0.10042735042735043, 0.09757834757834757, 0.09472934472934473, 0.08262108262108261, 0.08048433048433049]",0.003531771109403,3.3121187432279102
SUPERUSDT,2024-01-16,2024-01-17-00:00,first,"[0.30322128851540614, 0.17086834733893558, 0.12955182072829133, 0.10364145658263306, 0.07072829131652661, 0.08053221288515407, 0.05742296918767507, 0.046218487394957986, 0.037815126050420166]",0.0060269430667852,2.8618256788468024
SUPERUSDT,2024-01-16,2024-01-17-00:00,second,"[0.12675070028011204, 0.11484593837535013, 0.10504201680672269, 0.09663865546218488, 0.09313725490196079, 0.09523809523809523, 0.09243697478991597, 0.08263305322128851, 0.09873949579831932, 0.09453781512605042]",0.0057474343877681,3.311911865477976
SUPERUSDT,2024-01-17,2024-01-18-00:00,first,"[0.300148588410104, 0.18573551263001487, 0.10846953937592868, 0.09286775631500743, 0.07429420505200594, 0.0824665676077266, 0.06315007429420505, 0.04977711738484398, 0.04309063893016345]",0.0067382575262145,2.876367735792636
SUPERUSDT,2024-01-17,2024-01-18-00:00,second,"[0.13967310549777118, 0.1099554234769688, 0.1099554234769688, 0.09806835066864784, 0.10178306092124814, 0.09212481426448738, 0.0950965824665676, 0.08320950965824665, 0.08543833580980684, 0.08469539375928678]",0.0048648933419102,3.30421289468886
SUPERUSDT,2024-01-18,2024-01-19-00:00,first,"[0.301067615658363, 0.1786476868327402, 0.11387900355871886, 0.0911032028469751, 0.0711743772241993, 0.07188612099644127, 0.06548042704626335, 0.05338078291814947, 0.05338078291814947]",0.0055274248964639,2.890382337271711
SUPERUSDT,2024-01-18,2024-01-19-00:00,second,"[0.10889679715302492, 0.11814946619217082, 0.10462633451957296, 0.10177935943060498, 0.1110320284697509, 0.09822064056939502, 0.100355871886121, 0.08469750889679716, 0.08540925266903915, 0.08683274021352314]",0.0050686236025548,3.313374825256838
SUPERUSDT,2024-01-19,2024-01-20-00:00,first,"[0.3, 0.16762589928057553, 0.12158273381294964, 0.11223021582733812, 0.08273381294964029, 0.06330935251798561, 0.05539568345323741, 0.04892086330935252, 0.04820143884892086]",0.004737048446565,2.881348388040396
SUPERUSDT,2024-01-19,2024-01-20-00:00,second,"[0.11438848920863309, 0.1237410071942446, 0.09568345323741007, 0.1093525179856115, 0.10287769784172662, 0.10359712230215827, 0.08057553956834532, 0.09280575539568345, 0.08633093525179857, 0.09064748201438849]",0.0064934279396199,3.310458747405746
SUPERUSDT,2024-01-20,2024-01-21-00:00,first,"[0.2941628264208909, 0.18740399385560677, 0.1152073732718894, 0.0837173579109063, 0.08832565284178187, 0.08064516129032258, 0.05606758832565284, 0.047619047619047616, 0.04685099846390169]",0.0078331158126707,2.8820174927164963
SUPERUSDT,2024-01-20,2024-01-21-00:00,second,"[0.12749615975422426, 0.10599078341013825, 0.09984639016897082, 0.10599078341013825, 0.10752688172043011, 0.09370199692780339, 0.09062980030721966, 0.07296466973886329, 0.09062980030721966, 0.10522273425499232]",0.0079963845430062,3.3083899799172043
SUPERUSDT,2024-01-21,2024-01-22-00:00,first,"[0.30906148867313915, 0.16909385113268607, 0.11893203883495146, 0.08818770226537216, 0.08818770226537216, 0.05177993527508091, 0.05501618122977346, 0.06796116504854369, 0.05177993527508091]",0.0088597858983274,2.876532586864476
SUPERUSDT,2024-01-21,2024-01-22-00:00,second,"[0.12055016181229773, 0.10598705501618123, 0.10355987055016182, 0.10679611650485436, 0.0889967637540453, 0.09546925566343042, 0.08576051779935275, 0.08656957928802589, 0.09466019417475728, 0.11165048543689321]",0.0074161446928817,3.313290230353193
SUPERUSDT,2024-01-22,2024-01-23-00:00,first,"[0.28818897637795277, 0.17874015748031497, 0.1173228346456693, 0.09921259842519685, 0.07244094488188976, 0.07952755905511812, 0.05826771653543307, 0.049606299212598425, 0.05669291338582677]",0.0063874323664837,2.908159339617868
SUPERUSDT,2024-01-22,2024-01-23-00:00,second,"[0.11811023622047244, 0.1220472440944882, 0.1094488188976378, 0.1062992125984252, 0.10866141732283464, 0.09921259842519685, 0.08818897637795275, 0.07952755905511812, 0.07795275590551182, 0.09055118110236221]",0.0054393039338653,3.3062195385307387
SUPERUSDT,2024-01-23,2024-01-24-00:00,first,"[0.2819349962207105, 0.16628873771730915, 0.1368102796674225, 0.1073318216175359, 0.07256235827664399, 0.07407407407407407, 0.06273620559334846, 0.050642479213907785, 0.047619047619047616]",0.0080058781746882,2.914034949454916
SUPERUSDT,2024-01-23,2024-01-24-00:00,second,"[0.11866969009826153, 0.11337868480725624, 0.11035525321239607, 0.08767951625094482, 0.10657596371882086, 0.09750566893424037, 0.08843537414965986, 0.09297052154195011, 0.08465608465608465, 0.09977324263038549]",0.0052048743270174,3.312916144318563
SUPERUSDT,2024-01-24,2024-01-25-00:00,first,"[0.3042168674698795, 0.17921686746987953, 0.12198795180722892, 0.10015060240963855, 0.07379518072289157, 0.07078313253012049, 0.05948795180722891, 0.050451807228915665, 0.039909638554216864]",0.003307870522384,2.8624854503021333
SUPERUSDT,2024-01-24,2024-01-25-00:00,second,"[0.14834337349397592, 0.1091867469879518, 0.08810240963855422, 0.10015060240963855, 0.08659638554216867, 0.0963855421686747, 0.0911144578313253, 0.09412650602409639, 0.08960843373493976, 0.0963855421686747]",0.0091730383837297,3.3024216455161843
