symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
FILUSDT,2024-01-01-00:00,2024-01-02-00:00,first,"[0.36294240111034004, 0.20263705759888967, 0.08813324080499653, 0.07633587786259542, 0.06453851492019431, 0.05829285218598196, 0.056210964607911175, 0.04302567661346287, 0.047883414295628035]",0.0201298061610044,2.7223807484886335
FILUSDT,2024-01-01-00:00,2024-01-02-00:00,second,"[0.10825815405968078, 0.11866759195003469, 0.10340041637751561, 0.10825815405968078, 0.09437890353920889, 0.09646079111727966, 0.09090909090909091, 0.09576682859125607, 0.09090909090909091, 0.09299097848716169]",0.0050907170905102,3.316469269475562
FILUSDT,2024-01-02-00:00,2024-01-03-00:00,first,"[0.35877862595419846, 0.12560721721027066, 0.0777238029146426, 0.0791117279666898, 0.07425399028452463, 0.08049965301873699, 0.08327550312283137, 0.06176266481609993, 0.05898681471200555]",0.0267610036318966,2.8412779088766413
FILUSDT,2024-01-02-00:00,2024-01-03-00:00,second,"[0.11727966689798751, 0.11380985426786953, 0.12074947952810548, 0.10340041637751561, 0.09299097848716169, 0.09021512838306732, 0.09923664122137404, 0.09854267869535045, 0.08258154059680778, 0.08119361554476058]",0.0051961150773364,3.3094258369099916
FILUSDT,2024-01-03-00:00,2024-01-04-00:00,first,"[0.2546842470506593, 0.1693268563497571, 0.13879250520471895, 0.10478834142956281, 0.08605135322692574, 0.07009021512838307, 0.06453851492019431, 0.05759888965995836, 0.05412907702984039]",0.0118022558487213,2.9662009863761107
FILUSDT,2024-01-03-00:00,2024-01-04-00:00,second,"[0.12421929215822346, 0.1179736294240111, 0.12144344205412907, 0.09576682859125607, 0.0922970159611381, 0.0916030534351145, 0.09576682859125607, 0.10687022900763359, 0.07702984038861901, 0.07702984038861901]",0.0080311650345336,3.302866962167214
FILUSDT,2024-01-04-00:00,2024-01-05-00:00,first,"[0.24705065926439973, 0.16238723108952116, 0.14018043025676613, 0.11866759195003469, 0.09437890353920889, 0.07702984038861901, 0.06939625260235947, 0.04718945176960444, 0.04371963913948647]",0.016374285881046,2.9651552584080556
FILUSDT,2024-01-04-00:00,2024-01-05-00:00,second,"[0.10825815405968078, 0.12491325468424705, 0.10895211658570438, 0.09437890353920889, 0.08466342817487855, 0.09784871616932686, 0.10270645385149202, 0.09854267869535045, 0.08813324080499653, 0.0916030534351145]",0.0074033090643302,3.313035347865993
FILUSDT,2024-01-05-00:00,2024-01-06-00:00,first,"[0.2595419847328244, 0.20471894517696043, 0.15614156835530882, 0.12560721721027066, 0.0798056904927134, 0.05759888965995836, 0.04718945176960444, 0.03747397640527411, 0.031922276197085354]",0.0198115925590201,2.8401032210781096
FILUSDT,2024-01-05-00:00,2024-01-06-00:00,second,"[0.12421929215822346, 0.12352532963219987, 0.09507286606523248, 0.09576682859125607, 0.09576682859125607, 0.10756419153365718, 0.09854267869535045, 0.0922970159611381, 0.08674531575294935, 0.08049965301873699]",0.0064350350242339,3.308724509831183
